"~(으)ㄹ 뻔했다","Grammar for 'I almost ...' (did something)"
"살 뻔했어요.","I almost bought it."
"믿을 뻔했어요.","I almost believed it."
"무서워서 울 뻔했어여.","It was scary, so I almost cried."
"떨어뜨리다","to drop something"
"무거워서 떨어뜨릴 뻔했어요.","It was heavy, so I almost dropped it."
"돈을 잃을 뻔했어요.","I almost lost my money."
"죽을 뻔했어요.","I almost died."
"넘어지다","to trip and fall"
"회사 그만두다","to quit your job"
"친구분","honorific version of '친구'"
"현우 님께서","honorific version of '현우 씨가'"
"멈추다","to stop (e.g., moving)"
"뛰다가 멈추다","to be running and then stop"
"잠이 들다","to fall asleep"
"텔레비전을 보다가 잠이 들었어요.","I fell asleep while watching TV."
"여행을 하다가 감기에 걸렸어요.","I caught a cold while traveling."
"밥 먹다가 전화를 받았어요.","I was eating and then I received a phone call."
"일하다가 잠깐 쉬고 있어요.","I'm taking a short break from work."
"뭐 하다가 이렇게 늦게 왔어요?","What were you doing that you came this late?"
"지하철에서 몰다가 잘못 내렸어요.","I nodded off and got off at the wrong stop."
"외롭다","to be lonely"
"공짜","free of charge (noun)"
"현우 씨가 이 책 공짜라고 했어요.","Hynwoo said that this book is free of charge."
"N(이)라고 말하다","they said ... is N (indirect quotation)"
"N(이/가) 아니라고 말하다","they said ... is not N (indirect quotation)"
"'...'(이)라고 말하다","they said '...' (direct quote)"
"선생님이 뭐라고 했어요?","What did the teacher say?"
"제가 일 등이라고 들었어요.","I heard that I was the first place winner."
"경은 씨가 이거 선물 아니라고 했어요.","Kyeong-eun said that this is not a present."
"이 중에서 아무거나 골라도 돼요?","Can I pick anything among these?"
"웃기다","to be funny; to make someone laugh"
"흐리다","to be cloudy; to be overcast"
"별로 마음에 안 들어요.","I don't particularly like it."
"별로 안 어려워요.","It's not too difficult."
"사람들이 벌써 도착한 것 같아요.","I think people have already arrived."
"이건 별로 맛없을 것 같아요.","I don't think that one will taste good."
"최고라고 하다","to say that (something) is the best"
"~(이)라는","Abbr of '~(으)라고 하는', which means 'the thing/person they say is foo' or 'the person/thing called foo'"
"학생이라는 사람","the person that is said to be a student"
"사랑이라는 것","the thing called love"
"웹사이트","website"
"공부는 재미없으면 오래 할 수 없어요.","If studying isn't interesting, you can't do it for long."
"'톡투미인코리안'이라는 웹사이트 알아요?","Do you know the website called 'Talk To Me In Korean?'"
"회의실","conference room"
"대회의실","big conference room"
"회식","company dinner"
"계산기","calculator"
"회비","membership fee"
"회원","member, membership"
"대회","competition, tournament"
"대공원","large public park"
"종교","religion"
"절","Buddhist temple"
"성당","cathedral, Catholic church"
"동호회","club, society"
"에어컨 키다","to turn on the AC"
"~(이)라도","grammar flagging a noun as not the best but good enough; flagging a noun as possible but suspicious"
"그거라도 주세요.","I'll take that (if you do not have anything better)."
"과자라도 먹으래요?","Would you at least like a snack?"
"내일 영화라도 볼래요?","Maybe we can watch a movie or something tomorrow?"
"사고","accident"
"사고가 나다","for an accident to happen"
"사고라도 났어요?","Did you get into an accident or what?"
"젖다","to be wet"
"~(ㄴ/는)다","narrative present tense form (verbs)"
"~다","narrative present tense form (adj, 있다/없다)"
"이거 좋다!","This is good! (narrative present tense)"
"저기 기차 지나간다.","Over there, a train is passing by. (narrative present tense)"
"나 먼저 간다.","I'm leaving first. (narrative present tense)"
"그러면, 다음에는 너 초대 안 한다.","If you do that, next time I won't invite you. (and make that a rule; narrative present tense)"
"어? 다시 된다!","Oh? It's working again! (narrative present tense)"
"TV 안 볼 거지? 끈다.","You are not going to watch TV, are you? I am turning it off. (narrative present tense)"
"온다고 듣다","to hear that someone/something is coming"
"먹는다고 듣다","to hear that someone eats something"
"비싸다고 듣다","to hear that something is expensive"
"그 사람이 언제 온다고 했어요?","When did that person say they would come?"
"한국은 겨울에 정말 춥다고 들었어요.","I heard that it's very cold during winter in Korea."
"여기에 뭐라고 써야 돼요?","What should I write here?"
"비가 온다는 이야기","Abbr of '비가 온다고 하는 이야기' ('a story in which someone says that it is raining')"
"축하한다는 메시지","Abbr of '축하한다고 하는 메시지' ('a message saying they congratulate me')"
"메시지를 남기다","to leave a message"
"자리를 남기다","to make space"
"저도 간다는 메시지를 남겼어요.","I left a message saying that I would go, too."
"결혼한다는 소식","news about a marriage"
